"Name","_wandb","test_accuracy"
"CFR_300r_1e_8cl_FAWE","","0.9301"
"CFR_300r_1e_8cl_GBFA_CKKS","","0.9313"
"CFR_300r_1e_8cl_BC_CKKS","","0.9247"
"CFR_300r_1e_8cl_BC_BFV","","0.9233"
"CFR_300r_1e_8cl_FA_CKKS","","0.931"
"CFR_300r_1e_4cl_BC_BFV","","0.9205"
"CFR_300r_1e_4cl_BC_CKKS","","0.9282"
"CFR_300r_1e_4cl_GBFA_CKKS","","0.928"
"CFR_300r_1e_4cl_FAWE","","0.9335"
"CFR_300r_1e_4cl_FA_CKKS","","0.9339"
"CFR_300r_1e_2cl_BC_BFV","","0.9051"
"CFR_300r_1e_2cl_FAWE","","0.9158"
"CFR_300r_1e_2cl_FA_CKKS","","0.9191"
"CFR_300r_1e_2cl_GBFA_CKKS","","0.917"
"CFR_300r_1e_2cl_BC_CKKS","","0.9101"