"Step","BALNMP_1e_50r_2cl_FAWE - local_eval_accuracy","BALNMP_1e_50r_2cl_FAWE - local_eval_accuracy__MIN","BALNMP_1e_50r_2cl_FAWE - local_eval_accuracy__MAX"
"1","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"3","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"6","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"8","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"11","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"13","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"16","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"18","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"21","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"23","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"26","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"28","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"31","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"33","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"36","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"38","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"41","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"43","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"46","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"48","0.6633663366336634","0.6633663366336634","0.6633663366336634"
"51","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"53","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"56","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"58","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"61","0.6568627450980392","0.6568627450980392","0.6568627450980392"
"63","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"66","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"68","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"71","0.6862745098039216","0.6862745098039216","0.6862745098039216"
"73","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"76","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"78","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"81","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"83","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"86","0.6862745098039216","0.6862745098039216","0.6862745098039216"
"88","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"91","0.6764705882352942","0.6764705882352942","0.6764705882352942"
"93","0.7029702970297029","0.7029702970297029","0.7029702970297029"
"96","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"98","0.693069306930693","0.693069306930693","0.693069306930693"
"101","0.6862745098039216","0.6862745098039216","0.6862745098039216"
"103","0.6831683168316832","0.6831683168316832","0.6831683168316832"
"106","0.6764705882352942","0.6764705882352942","0.6764705882352942"
"108","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"111","0.6862745098039216","0.6862745098039216","0.6862745098039216"
"113","0.6534653465346535","0.6534653465346535","0.6534653465346535"
"116","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"118","0.7029702970297029","0.7029702970297029","0.7029702970297029"
"121","0.696078431372549","0.696078431372549","0.696078431372549"
"123","0.6435643564356436","0.6435643564356436","0.6435643564356436"
"126","0.7156862745098039","0.7156862745098039","0.7156862745098039"
"128","0.693069306930693","0.693069306930693","0.693069306930693"
"131","0.7156862745098039","0.7156862745098039","0.7156862745098039"
"133","0.7227722772277227","0.7227722772277227","0.7227722772277227"
"136","0.7254901960784313","0.7254901960784313","0.7254901960784313"
"138","0.7128712871287128","0.7128712871287128","0.7128712871287128"
"141","0.6764705882352942","0.6764705882352942","0.6764705882352942"
"143","0.6633663366336634","0.6633663366336634","0.6633663366336634"
"146","0.7254901960784313","0.7254901960784313","0.7254901960784313"
"148","0.7326732673267327","0.7326732673267327","0.7326732673267327"
"151","0.7058823529411765","0.7058823529411765","0.7058823529411765"
"153","0.7425742574257426","0.7425742574257426","0.7425742574257426"
"156","0.7058823529411765","0.7058823529411765","0.7058823529411765"
"158","0.7524752475247525","0.7524752475247525","0.7524752475247525"
"161","0.7352941176470589","0.7352941176470589","0.7352941176470589"
"163","0.693069306930693","0.693069306930693","0.693069306930693"
"166","0.7254901960784313","0.7254901960784313","0.7254901960784313"
"168","0.693069306930693","0.693069306930693","0.693069306930693"
"171","0.7058823529411765","0.7058823529411765","0.7058823529411765"
"173","0.7326732673267327","0.7326732673267327","0.7326732673267327"
"176","0.6862745098039216","0.6862745098039216","0.6862745098039216"
"178","0.7029702970297029","0.7029702970297029","0.7029702970297029"
"181","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"183","0.7326732673267327","0.7326732673267327","0.7326732673267327"
"186","0.7254901960784313","0.7254901960784313","0.7254901960784313"
"188","0.7029702970297029","0.7029702970297029","0.7029702970297029"
"191","0.696078431372549","0.696078431372549","0.696078431372549"
"193","0.7227722772277227","0.7227722772277227","0.7227722772277227"
"196","0.7156862745098039","0.7156862745098039","0.7156862745098039"
"198","0.7128712871287128","0.7128712871287128","0.7128712871287128"
"201","0.7058823529411765","0.7058823529411765","0.7058823529411765"
"203","0.7326732673267327","0.7326732673267327","0.7326732673267327"
"206","0.6764705882352942","0.6764705882352942","0.6764705882352942"
"208","0.6633663366336634","0.6633663366336634","0.6633663366336634"
"211","0.7254901960784313","0.7254901960784313","0.7254901960784313"
"213","0.6831683168316832","0.6831683168316832","0.6831683168316832"
"216","0.7352941176470589","0.7352941176470589","0.7352941176470589"
"218","0.7425742574257426","0.7425742574257426","0.7425742574257426"
"221","0.6862745098039216","0.6862745098039216","0.6862745098039216"
"223","0.6831683168316832","0.6831683168316832","0.6831683168316832"
"226","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"228","0.693069306930693","0.693069306930693","0.693069306930693"
"231","0.7352941176470589","0.7352941176470589","0.7352941176470589"
"233","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"236","0.7254901960784313","0.7254901960784313","0.7254901960784313"
"238","0.7128712871287128","0.7128712871287128","0.7128712871287128"
"241","0.7156862745098039","0.7156862745098039","0.7156862745098039"
"243","0.6732673267326733","0.6732673267326733","0.6732673267326733"
"246","0.7352941176470589","0.7352941176470589","0.7352941176470589"
"248","0.6732673267326733","0.6732673267326733","0.6732673267326733"